caseid,ftobama,ftblack,ftwhite,fthisp,ftgay,fttrump,fthrc,ftcruz,ftsanders,ftpolice,ftfem,fttrans,ftmuslim,ftsci,reg,demcand,repcand,vote16dt,presjob,lazyb,lazyw,lazyh,lazym,violentb,violentw,violenth,violentm,econnow
994,70,71,100,70,91,17,100,77,48,93,50,34,41,89,1,1,11,1,1,2,2,2,2,2,2,2,2,2
995,94,78,81,98,51,3,99,54,41,79,40,62,56,59,1,1,4,9,1,3,3,2,4,3,3,1,4,3
996,56,90,80,81,44,62,59,20,17,54,30,19,8,80,1,5,9,2,4,5,5,5,2,4,4,4,1,3
997,98,79,29,50,59,5,71,14,20,56,90,71,54,64,1,1,11,1,1,4,4,2,4,5,5,5,1,2
998,34,70,91,69,63,41,21,25,33,71,62,60,57,62,2,5,11,9,6,3,3,3,3,3,3,3,3,3
999,100,100,50,100,100,63,99,52,28,50,86,100,91,49,1,1,9,9,1,5,5,5,5,5,5,5,5,1
1000,100,100,100,100,60,0,89,0,61,100,100,66,100,100,1,1,11,1,1,5,5,5,5,5,5,5,5,1
1001,2,10,98,8,4,49,9,22,29,5,13,6,5,78,1,3,1,2,7,3,4,3,3,5,1,5,5,3
1002,25,91,89,88,43,72,12,97,19,88,58,53,57,100,1,5,4,9,7,4,5,4,5,4,4,5,4,5
1003,15,85,85,40,0,72,14,61,32,71,2,0,3,63,1,3,9,9,6,3,3,3,3,4,4,4,3,3
1004,8,15,88,11,3,100,3,72,23,53,19,2,3,75,1,3,9,9,7,2,3,4,5,1,3,2,1,3
1005,86,68,66,87,3,1,87,27,48,74,14,6,15,60,2,1,8,9,3,3,4,5,3,3,3,5,2,3
1006,6,68,99,66,49,56,19,56,41,72,44,20,51,49,1,3,4,9,7,4,4,4,4,2,3,3,2,4
1007,36,18,100,21,100,26,58,45,33,100,24,100,12,45,1,5,6,9,7,1,1,5,5,5,1,5,5,3
1008,25,91,50,90,46,31,1,2,90,41,1,50,9,100,1,3,7,9,6,3,3,5,5,2,2,2,2,3
1009,100,100,100,100,85,6,95,7,61,95,50,50,75,95,1,1,6,1,1,5,5,5,5,5,4,4,5,2
1010,87,98,70,78,100,1,69,4,93,92,100,98,98,89,1,3,1,1,2,5,5,5,5,5,5,5,5,3
1011,87,92,91,97,99,10,100,64,998,73,47,84,99,85,1,1,11,1,2,4,2,5,3,5,5,5,5,4
1012,94,40,50,91,36,38,43,58,49,87,34,50,46,81,1,5,4,9,2,4,5,4,5,2,5,3,4,2
1013,80,52,53,53,54,3,55,0,90,63,60,51,60,64,1,3,11,9,2,4,5,5,5,5,5,5,5,3
1014,75,100,97,100,100,3,30,3,100,56,100,100,100,100,1,3,11,9,3,5,5,5,5,5,5,5,5,2
1015,42,76,75,72,79,7,38,43,93,72,77,79,81,88,1,3,3,9,5,5,5,5,5,5,5,5,5,3
1016,8,39,100,38,47,81,16,25,42,45,74,63,14,34,1,1,1,9,7,1,5,1,1,1,5,1,1,5
1017,2,50,50,41,50,100,0,61,60,100,13,44,30,51,1,3,9,9,7,4,4,4,4,3,4,5,3,3
1018,9,19,93,38,9,13,97,10,9,62,8,17,66,65,3,1,11,9,4,1,5,5,5,1,4,4,3,4
1019,89,58,37,77,1,80,60,15,50,89,16,3,31,71,1,1,2,9,2,5,5,5,5,4,2,3,3,3
1020,87,50,50,50,50,0,56,2,90,59,90,50,50,81,1,3,7,9,2,5,5,5,5,5,5,5,5,3
1021,3,41,88,50,100,55,6,50,56,100,50,100,45,81,3,3,11,4,7,3,3,4,5,2,3,3,2,3
1022,74,94,79,53,79,3,77,4,10,39,67,26,5,32,1,1,11,1,3,2,2,3,5,2,2,3,5,5
1023,22,72,72,71,100,61,12,47,79,80,55,84,8,89,1,3,11,9,6,4,4,4,3,3,3,3,3,3
1024,40,58,35,4,53,6,34,97,12,33,79,6,6,35,1,3,6,4,7,4,4,4,4,3,3,3,1,4
1025,100,72,74,93,51,20,99,91,54,49,69,64,80,78,2,1,4,1,2,3,3,2,2,1,4,3,4,3
1026,0,99,100,19,100,100,1,7,998,100,21,51,1,100,1,3,9,9,7,5,5,5,5,3,4,2,1,4
1027,84,44,78,98,72,2,63,90,47,100,6,70,4,93,2,1,11,9,3,1,3,5,4,2,3,3,1,2
1028,73,85,85,66,70,88,60,70,50,66,40,60,61,65,1,1,9,2,2,3,2,3,4,3,2,3,4,3
1029,50,100,100,1,51,0,31,0,0,40,10,0,5,48,2,1,11,1,4,4,4,3,3,2,2,5,5,3
1030,80,70,60,85,95,0,66,10,100,40,81,100,65,100,1,3,6,1,2,5,4,5,5,5,5,5,5,2
